,target
2161,-0.0716056633335912
5840,-0.0035650632062463
4587,-0.0621735896687305
2839,-0.0450546732521778
5104,-0.0972353835925732
4335,-0.0960006309873312
5643,-0.0460553832642825
2220,-0.0688463029050383
4333,-0.0925192033037777
2982,-0.1053932721073767
5541,-0.0915697619958051
1320,-0.0974517967508184
928,-0.0250550888755552
4256,-0.0593334393526618
1395,-0.1032633667897029
5398,-0.0321393846312822
3337,-0.0917777146444606
5242,0.0201181548245964
5714,-0.0157565763945661
5356,0.0693186919886205
5415,-0.0683390002984193
2462,0.1216099858575667
5768,-0.0362294732613956
59,-0.1102991528731819
5713,-0.0250242368570104
523,-0.1437118765382686
1173,0.2186083166997159
454,-0.0825124461891575
4287,-0.0181164463982333
3461,0.0402096995193499
3647,0.1901668781843331
295,-0.012881614000425
3778,-0.0631985809588317
5265,0.0160256404401101
4470,-0.0730058407391085
2111,-0.0343421711233625
844,-0.0429674915056037
4624,-0.0761709336868568
4362,-0.0872567377099977
3810,0.0123296604701559
2913,-0.0681048214024586
3737,0.1260281464290603
330,0.0965379194247076
3827,-0.030989766576899
4340,0.0147229074688665
6187,0.171321003638421
1952,-0.0569026333446655
3036,0.0192406731206292
6044,-0.0418584863577638
1544,0.027282451436139
6100,0.1761129328118426
1360,-0.0831794495163482
3745,0.1300925794644684
4450,-0.0120966909223631
727,-0.0572808665805788
2671,-0.0550035929187169
6162,-0.0273984709580829
858,0.0199558667350836
978,-0.0430546243600288
3488,-0.0112819497886029
1338,0.0144670740746674
4073,0.0592942571864186
974,-0.0067174974180924
661,-0.0561683297745879
873,0.0380353580448159
2271,-0.05077818587058
3362,0.0032397463968148
1355,-0.0278523850415872
5631,-0.102115732851441
5908,-0.1081058579004675
2905,0.0252699478632832
392,-0.0007665437143668
3394,-0.1144874614610939
2135,0.0531501128331434
4940,0.1796001946485769
2627,0.0409643742256207
3966,0.0441669898311131
2752,0.0007383737239498
112,-0.05035007441799
2341,0.1635023925050153
133,0.0547418901571502
5306,-0.0129671835145334
5108,-0.0798161909778616
4398,-0.020355193399938
5332,0.0034410107541614
3377,-0.0422273250767136
5734,-0.0481164065512074
5070,-0.1029697730762006
430,-0.0501435760049579
4701,0.0408632926186308
842,-0.0172492096350283
1407,-0.1009100099237087
198,-0.0068505891056883
805,0.0589171660403503
1193,0.1855783495277734
1253,-0.1163241628529714
3953,-0.1450012314747548
1583,-0.0031809269813968
576,-0.0570165277712107
4795,0.0254604048441028
4928,0.1593099954618605
3356,-0.046542641138859
2843,-0.0137561222475339
4773,-0.037703528890912
5655,-0.033283319142239
586,-0.0202530757859858
4451,-0.1023534557555577
53,-0.0380959963131623
5425,-0.0376986109811128
529,-0.0216362059411326
4469,-0.042130854152343
5682,0.0368162492367801
3539,-0.0244758181193631
2608,-0.0415451611745217
3436,-0.1243446356587458
2419,0.0970478965088608
4045,0.05188192898352
4915,0.1549346764681063
2133,-0.0937453003669034
2118,-0.0963634414354809
5140,-0.0812205441774127
980,0.0104160064729356
5950,-0.0441841086936956
2870,-0.0281094611337725
4989,0.2186083166997159
2871,-0.1254465833919549
2716,0.0570303263685983
1449,0.0210607216547686
3428,-0.0486203979887941
4228,-0.0771372004361417
2778,0.0199656182950373
4879,0.2076972174272578
406,0.014625766745981
3843,-0.0310243642900338
4553,-0.050961838759592
3538,-0.0321968734220008
4955,0.11283687178775
5339,0.0201051903720075
5671,-0.0146045191031324
1677,-0.0056488861303536
2066,-0.0951045112726824
569,-0.0928159460199282
3885,-0.0705554286560662
2431,0.2186083166997159
3784,-0.080516431377996
4632,-0.080037471131387
2428,0.2186083166997159
5789,0.0371689894761895
1992,-0.0798603718549807
5018,-0.1243965839979966
5276,-0.1090649679878468
3656,0.2186083166997159
461,-0.0387366831177397
3898,-0.0835576859917256
3730,0.191764826254663
5917,-0.1058553871003662
2106,-0.057374061825375
386,-0.10489946592199
5051,-0.0032773305465163
707,-0.0231574074796719
2125,-0.0865232297280697
3720,0.1882021388146334
3811,-0.0442565672782049
5821,-0.0263202087181319
1955,-0.0073891312943107
2508,0.1091918636156862
3031,-0.1053662161508687
3677,0.1322648558419326
3970,-0.0058459203255989
2786,-0.0007181708650961
2577,-0.0985001241084455
361,-0.0478408281483666
1055,0.1221200933542069
85,-0.0771896616129168
789,-0.0937020400522625
1401,-0.1173808257681136
1242,0.1487553741162603
530,-0.0482728157423929
1367,-0.0315308154921321
2488,0.1808996629453907
760,0.0174298329234633
302,-0.0368305395081674
1006,-0.0012185763379497
819,0.0426985882681534
504,-0.103124998841734
6109,0.1113040057281635
3489,-0.0313367823921343
781,-0.0318836665476192
3780,-0.0427340417689916
2924,-0.0234446076234946
2103,-0.0101715856733662
2968,-0.0343975293063912
730,-0.0174288357144975
738,-0.0390637927959449
55,-0.0228163231158557
3434,-0.1161242462705009
3935,0.0514779835442321
3227,-0.0223417947720959
2744,-0.081762109952037
206,-0.1342043465078909
513,-0.0707591487819879
1813,-0.0916805667307559
5557,0.0065681578557544
3417,-0.060646214615109
3516,-0.0443458856935487
4066,-0.0434595210442389
1208,0.1745293029116372
3339,-0.0533570341298733
5093,-0.0940709032698722
5673,-0.0572307535187059
1932,0.0178377183550418
2424,0.1689447250598249
1754,-0.0189228742442284
2298,0.1757794201532824
1384,-0.0912387553362556
5615,7.356170553493348e-05
2803,-0.0711502959431338
5009,0.0822827268264308
455,-0.0643096897079827
3020,-0.0309465517326794
4026,-0.0325386912834113
3806,-0.1091230801818408
428,-0.0463855248058127
6129,0.0214001495493066
3657,0.1305041558481046
1454,-0.0088041145035645
1874,-0.057683516594622
539,0.0422704186790486
3847,-0.1203001175206353
4883,0.1484265220038247
2185,-0.0389830826584723
1334,0.0067569840444228
3111,-0.0996992148182645
5883,0.0454389137144865
190,0.0618753662075843
1746,-0.1071081245441754
4415,0.0141209659685503
3318,-0.0360481156899506
2492,0.1547306509629538
5170,-0.0054023145541714
4050,-0.0591104060105691
3915,-0.0743999117678105
1379,0.0080987312659693
4504,0.0296967854942366
429,-0.0038775077679792
4776,-0.0888342021787596
3581,0.1318594319165943
1592,0.024836635826207
6103,0.1339339162742374
4407,-0.0081810210192558
2228,-0.0003784113250105
3504,0.0254018768476293
1491,0.0621254934572288
3532,-0.0513374885503375
4873,0.1683377881799241
6191,0.0239545277665816
2820,-0.0549213857891281
1579,-0.0759449529521588
4185,-0.1062207215048016
3645,0.1505200381302326
3334,-0.1217370167787684
5630,-0.0747192885037187
3952,-0.0498819385356568
70,-0.0318638787420057
5490,-0.1040749916186265
5004,0.1618690305209572
1747,-0.0657138134909859
3329,-0.0713563610550066
5536,-0.0509745283809463
4769,0.0099768727550783
20,0.0190607428520956
3934,-0.0040035273402372
3232,-0.0489031927827527
4944,0.1891453016699722
2499,0.1227502726176581
1113,0.1638027048460156
1479,0.0393420889043378
5059,-0.0492120635189561
1027,-0.0575393553792978
2625,0.0118295455132102
1033,-0.0550996655353595
994,0.0071741625942565
3,-0.0940346244764994
660,-0.0097989882854531
6138,0.2142506836136755
5991,0.0764489367131865
823,-0.0401606462163888
3955,-0.1020987940951423
1644,0.0164481060780835
2063,0.0528959987664489
1328,-0.0348658074478244
1940,0.0053517890707125
3551,0.1765292946190131
2612,-0.0288717857848664
6039,0.0430826221074568
2090,-0.1338915635509596
3975,0.0633767825748164
2927,-0.0196932401794876
5955,0.015751479239265
2070,0.0233275827947546
3483,-0.0802263013474972
3682,0.1560599636569721
6228,0.1907065452472784
2201,0.0186640273228991
5941,0.006052757899346
4760,-0.0198919922354928
3037,-0.0479904180880104
244,0.0274797709904445
5818,-0.0419011166319386
4880,0.1538137696131462
1267,0.0454877166495485
635,0.0347546522512407
3101,-0.0956104178215694
2076,-0.0514206244033397
6081,0.2007409703521209
1244,0.1199316006551128
5169,0.0079597578692733
5311,0.0515170120420109
5635,-0.0037517924036698
2367,0.1749702324189104
5819,-0.0143871916112997
2211,-0.0498446688257307
269,0.0355088675948972
5935,-0.0152651931748714
1490,0.0863893630155463
4244,0.0045714142574126
4448,-0.0370826407918102
1066,0.194377888778072
639,0.0339011347004975
5871,-0.0006481099463284
2599,-0.0723321158736696
3104,0.0443667381892019
5772,-0.017968094552844
6221,0.1562169540874715
160,-0.1240082286876616
2001,-0.1011090351561846
589,-0.0116444721417586
5428,0.0462741756357213
4603,-0.1193716129141005
4937,0.2186083166997159
2171,-0.0227683060426892
565,-0.024617163785729
5429,-0.0066091027368945
3758,-0.0782073019215858
4903,0.1135131546627426
1960,-0.028187241748776
1425,0.0040092794965201
3492,-0.0479724445914452
3655,0.1541265920380549
1434,-0.0049650784151502
1168,0.1553914053104694
954,-0.1105575074099586
6208,0.0933049564628952
3658,0.0642464533650461
1675,-0.1247878571066065
6112,0.1510736371329277
5802,-0.0461478434852504
970,-0.0322411387929453
1391,-0.0350477606027201
1998,0.0373403934897678
5195,-0.0602655799300069
2480,0.1082214011259224
3797,-0.0737964724865868
3240,-0.0660941640025714
3628,0.2186083166997159
5466,-0.1327198315776662
2286,-0.0226245198888782
4512,-0.0107956334583838
1439,-0.0061375108872998
1409,-0.1090165906450455
3288,-0.0560143142668277
1473,0.0724291642948762
5237,0.0655338060502029
3717,0.1713424135939234
2928,0.0209284766714418
6212,0.2186083166997159
6236,0.1072753830048219
4866,0.1664978194228613
1686,0.0542377279841283
2087,-0.0607762667573587
1872,-0.0416670807918067
3869,0.0311445849222499
968,-0.0456527888347265
4087,-0.0974517967508184
4606,-0.1228098033827135
501,0.0386905533194986
2993,-0.0470992566135138
371,-0.1233928217535403
1093,0.2186083166997159
1749,-0.1025239246664599
2962,-0.0924066017338983
